id;marca;modello;potenza;prezzo;prezzo_ui;prezzo_ue;wifi;dimensioni_ui;dimensioni_ue;peso_ui;peso_ue;codice_prodotto;articolo_fornitore;classe_energetica_raffrescamento;classe_energetica_riscaldamento;scheda_tecnica_url;image_url;tipo
14;MITSUBISHI;HR;6,0kW - 21000BTU;1050.00;634.00;416.00;No;305x923x263;714x800x285;13;40;UI: 714644 / UE: 714645;UI: MSZ-HR60VF / UE: MUZ-HR60VF;A++;A+;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda_Tecnica_MSZ-HR_web_0.pdf;../images/hr.png;Monosplit
15;MITSUBISHI;HR;7,1kW - 24000BTU;1336.00;797.00;539.00;No;305x923x263;714x800x285;13;40;UI: 708752 / UE: 708753;UI: MSZ-HR71VF / UE: MUZ-HR71VF;A++;A+;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda_Tecnica_MSZ-HR_web_0.pdf;../images/hr.png;Monosplit
16;MITSUBISHI;AY;2,0kW - 7000BTU;832.00;462.00;370.00;Sì;250x760x199;550x800x285;9;28;UI: 834032 / UE: 834443;UI: MSZ-AY20VGKP / UE: MUZ-AY20VG;A+++;A+;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-AY%20-%20191124.pdf;../images/ay.png;Monosplit
17;MITSUBISHI;AY;2,5kW - 9000BTU;877.00;470.00;407.00;Sì;299x798x245;550x800x285;11;28;UI: 801940 / UE: 802160;UI: MSZ-AY25VGKP / UE: MUZ-AY25VG;A+++;A++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-AY%20-%20191124.pdf;../images/ay.png;Monosplit
18;MITSUBISHI;AY;3,5kW - 12000BTU;999.00;580.00;419.00;Sì;299x798x245;550x800x285;11;29;UI: 801936 / UE: 802161;UI: MSZ-AY35VGKP / UE: MUZ-AY35VG;A+++;A++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-AY%20-%20191124.pdf;../images/ay.png;Monosplit
19;MITSUBISHI;AY;4,2kW - 15000BTU;1194.00;728.00;466.00;Sì;299x798x245;550x800x285;11;34;UI: 813624 / UE: 813622;UI: MSZ-AY42VGKP / UE: MUZ-AY42VG;A++;A++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-AY%20-%20191124.pdf;../images/ay.png;Monosplit
20;MITSUBISHI;AY;5,0kW - 18000BTU;1359.00;860.00;499.00;Sì;299x798x245;714x800x285;11;41;UI: 800724 / UE: 800726;UI: MSZ-AY50VGKP / UE: MUZ-AY50VG;A++;A++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-AY%20-%20191124.pdf;../images/ay.png;Monosplit
21;MITSUBISHI;KIRIGAMINE STYLE;2,5kW - 9000BTU;1122.00;613.00;509.00;Sì;307x890x233;550x800x285;16;35;UI: 714755 / UE: 747052;UI: MSZ-LN25VG2V / UE: MUZ-LN25VG2;A+++;A+++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-LN%20-%20191124.pdf;../images/kirigamine_style.png;Monosplit
22;MITSUBISHI;KIRIGAMINE STYLE;3,5kW - 12000BTU;1316.00;767.00;549.00;Sì;307x890x233;550x800x285;16;35;UI: 714757 / UE: 708362;UI: MSZ-LN35VG2V / UE: MUZ-LN35VG2;A+++;A+++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-LN%20-%20191124.pdf;../images/kirigamine_style.png;Monosplit
23;MITSUBISHI;KIRIGAMINE STYLE;5,0kW - 18000BTU;1776.00;1102.00;674.00;Sì;307x890x233;714x800x285;16;40;UI: 687306 / UE: 722800;UI: MSZ-LN50VG2V / UE: MUZ-LN50VG2;A+++;A++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-LN%20-%20191124.pdf;../images/kirigamine_style.png;Monosplit
24;MITSUBISHI;KIRIGAMINE ZEN;2,5kW - 9000BTU;955.00;512.00;443.00;Sì;299x885x195;550x800x285;12;31;UI: 688038 / UE: 651606;UI: MSZ-EF25VGK / UE: MUZ-EF25VG;A+++;A++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-EF%20-%20191124.pdf;../images/kirigamine_zen.png;Monosplit
25;MITSUBISHI;KIRIGAMINE ZEN;3,5kW - 12000BTU;1116.00;649.00;467.00;Sì;299x885x195;550x800x285;12;34;UI: 686747 / UE: 649516;UI: MSZ-EF35VGK / UE: MUZ-EF35VG;A+++;A++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-EF%20-%20191124.pdf;../images/kirigamine_zen.png;Monosplit
26;MITSUBISHI;KIRIGAMINE ZEN;4,2kW - 15000BTU;1306.00;786.00;520.00;Sì;299x885x195;714x800x285;12;35;UI: 688063 / UE: 682951;UI: MSZ-EF42VGK / UE: MUZ-EF42VG;A++;A++;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-EF%20-%20191124.pdf;../images/kirigamine_zen.png;Monosplit
27;MITSUBISHI;KIRIGAMINE ZEN;5,0kW - 18000BTU;1486.00;927.00;559.00;Sì;299x885x195;714x800x285;12;40;UI: 691046 / UE: 734588;UI: MSZ-EF50VGK / UE: MUZ-EF50VG;A++;A+;https://climatizzazione.mitsubishielectric.it/sites/default/files/2024-11/Scheda%20tecnica%20MSZ-EF%20-%20191124.pdf;../images/kirigamine_zen.png;Monosplit
28;DAIKIN;SENSIRA;2,0kW - 7000BTU;486.00;;;Sì;;;;883305;RXF20E + FTXF20E;A++;A+;https://www.daikin.ch/content/dam/internet-denv/catalogues_brochures/residential/Sensira_ECPEN18-006_Product%20profile_English.pdf;../images/sensira.png;Monosplit;
29;DAIKIN;SENSIRA;2,5kW - 9000BTU;503.00;;;Sì;;;;883307;RXF25E + FTXF25E;A++;A+;https://www.daikin.ch/content/dam/internet-denv/catalogues_brochures/residential/Sensira_ECPEN18-006_Product%20profile_English.pdf;../images/sensira.png;Monosplit;
30;DAIKIN;SENSIRA;3,5kW - 12000BTU;575.00;;;Sì;;;;883310;RXF35E + FTXF35E;A++;A+;https://www.daikin.ch/content/dam/internet-denv/catalogues_brochures/residential/Sensira_ECPEN18-006_Product%20profile_English.pdf;../images/sensira.png;Monosplit;
31;DAIKIN;SENSIRA;4,2kW - 15000BTU;693.00;;;Sì;;;;883313;RXF42E + FTXF42E;A++;A+;https://www.daikin.ch/content/dam/internet-denv/catalogues_brochures/residential/Sensira_ECPEN18-006_Product%20profile_English.pdf;../images/sensira.png;Monosplit;
32;DAIKIN;SENSIRA;5,0kW - 18000BTU;957.00;;;Sì;;;;883314;RXF50E + FTXF50E;A++;A+;https://www.daikin.ch/content/dam/internet-denv/catalogues_brochures/residential/Sensira_ECPEN18-006_Product%20profile_English.pdf;../images/sensira.png;Monosplit;
33;DAIKIN;PERFERA;2,0kW - 7000BTU;928.00;;;Sì;;;;836191;RXM20A + FTXM20A;A+++;A+++;https://www.daikin.it/content/dam/DACI-Internet/Download/Climatizzazione/Leaflet-perfera-singole.pdf;../images/perfera.png;Monosplit;
34;DAIKIN;PERFERA;2,5kW - 9000BTU;1026.00;;;Sì;;;;836193;RXM25A + FTXM25A;A+++;A+++;https://www.daikin.it/content/dam/DACI-Internet/Download/Climatizzazione/Leaflet-perfera-singole.pdf;../images/perfera.png;Monosplit;
35;DAIKIN;PERFERA;3,5kW - 12000BTU;1187.00;;;Sì;;;;836198;RXM35A + FTXM35A;A+++;A+++;https://www.daikin.it/content/dam/DACI-Internet/Download/Climatizzazione/Leaflet-perfera-singole.pdf;../images/perfera.png;Monosplit;
